Code,Description
FBS,"Base - Stand-by"
FBSI,"Air-ground Signaling"
FBST,"Standby"
FBT,"Base - Temporary"
FC,"PUBLIC COAST"
FC2,"PUBLIC COAST(TEMPORARY)"
FCA,"MARINE SUPPORT-TESTING & TRAINING"
FCA2,"MARINE SUPPORT-TESTING & TRAINING (TEMPORARY)"
FCL,"PRIVATE COAST"
FCL2,"PRIVATE COAST (TEMPORARY)"
FCU,"MARINE UTILITY"
FCU1,"MARINE UTILITY (MOBILE)"
FIS,"Flight Information Services"
FIS1,"Flight Information Services with Hand Held/Mobile"
FIS2,"Flight Information Services for Temporary Operatio"
FLT,"Auxiliary Test"
FLTC,"Auxiliary Test - Interconnect"
FLTI,"Auxiliary Test - Itinerant"
FLTL,"Auxiliary Test - Itinerant Interconnect"
FLU,"AVIATION SUPPORT SERVICE"
FLU1,"AVIATION SUPPORT SERVICE (MOBILE)"
FMA1,"AIRCRAFT FLIGHT TEST STATION"
FX,"Fixed"
FX1,"Control"
FX1A,"Control - Airport Terminal Use"
FX1C,"Control - Interconnect"
FX1I,"Control - Itinerant"
FX1J,"Control - Temporary Interconnect"
FX1K,"Control - Stand-by Interconnect"
FX1L,"Control - Itinerant Interconnect"
FX1S,"Control - Stand-by"
FX1T,"Control - Temporary"
FX2,"Fixed Relay"
FX2A,"Fixed Relay - Airport Terminal Use"
FX2C,"Fixed Relay - Interconnect"
FX2I,"Fixed Relay - Itinerant"
FX2J,"Fixed Relay - Temporary Interconnect"
FX2K,"Fixed Relay - Stand-by Interconnect"
FX2L,"Fixed Relay - Itinerant Interconnect"
FX2S,"Fixed Relay - Stand-by"
FX2T,"Fixed Relay - Temporary"
FX3,"Secondary Fixed (Tone Signalling)"
FX3A,"Secondary Fixed - Airport Terminal Use"
FX3C,"Secondary Fixed - Interconnect"
FX3I,"Secondary Fixed - Itinerant"
FX3J,"Secondary Fixed - Temporary Interconnect"
FX3K,"Secondary Fixed - Stand-by Interconnect"
FX3L,"Secondary Fixed - Itinerant Interconnect"
FX3S,"Secondary Fixed - Stand-by"
FX3T,"Secondary Fixed - Temporary"
FX5,"Temporary Fixed"
FXA,"Fixed - Airport Terminal Use"
FXB,"Primary Permanent Fixed Stations or Links"
FXC,"Fixed - Interconnect"
FXCO,"Central Office"
FXCT,"Control"
FXDI,"Dispatch"
FXI,"Fixed - Itinerant"
FXIO,"Inter-office"
FXJ,"Fixed - Temporary Interconnect"
FXK,"Fixed - Stand-by Interconnect"
FXL,"Fixed - Itinerant Interconnect"
FXO,"Operational Fixed"
FXOA,"Fixed - Interconnect - Airport Terminal Use"
FXOC,"Operational Fixed - Interconnect"
FXOI,"Operational Fixed - Itinerant"
FXOJ,"Operational Fixed - Temporary Interconnect"
FXOK,"Operational Fixed - Stand-by Interconnect"
FXOL,"Operational Fixed - Itinerant Interconnect"
FXOS,"Operational Fixed - Stand-by"
FXOT,"Operational Fixed - Temporary"
FXRP,"Repeater"
FXRX,"Fixed Relay"
FXS,"Fixed - Stand-by"
FXSB,"Fixed Subscriber"
FXT,"Fixed - Temporary"
FXTS,"Auxiliary Test"
FXV,"CTS Exceeding 20'"
FXW,"CTS Meeting 20'"
FXY,"Interzone"
FXYC,"Interzone - Interconnect"
FXZ,"Zone"
FXZC,"Zone - Interconnect"
GCO,"GROUND COMMUNICATIONS OUTLET"
LR,"Radiolocation Land"
LRC,"Radiolocation Land - Interconnect"
LRJ,"Radiolocation Land - Temporary Interconnect"
LRK,"Radiolocation Land - Stand-by Interconnect"
LRS,"Radiolocation Land - Stand-by"
LRT,"Radiolocation Land - Temporary"
MFL,"AERONAUTICAL MULTICOM"
MFL1,"AERONAUTICAL MULTICOM (MOBILE)"
MFL2,"AERONAUTICAL MULTICOM (TEMPORARY)"
MFX,"MARINE OPS FIXED"
MFX2,"MARINE OPS FIXED (TEMPORARY)"
MLSB,"Mobile Subscriber"
MO,"Mobile"
MO3,"Vehicular Repeater"
MO3A,"Vehicular Repeater - Airport Terminal Use"
MO3C,"Vehicular Repeater with Interconnect"
MO3I,"Vehicular Repeater - Itinerant"
MO3J,"Vehicular Repeater with Temporary Interconnect"
MO3K,"Vehicular Repeater with Stand-by Interconnect"
MO3L,"Vehicular Repeater with Itinerant Interconnect"
MO3S,"Stand-by Vehicular Repeater"
MO3T,"Temporary Vehicular Repeater"
MO5,"Mobile & Temporary Fixed"
MO6,"Private Carrier Mobile Operation (profit)"
MO6A,"Private Carrier Mobile Operation (profit) - Airport Terminal Use"
MO6C,"Private Carrier Mobile Operation (profit) - Interconnect"
MO6I,"Private Carrier Mobile Operation (profit) - Itinerant"
MO6J,"Private Carrier Mobile Operation (profit) with Temporary Interconnect"
MO6K,"Private Carrier Mobile Operation (profit) with Stand-by Interconnect"
MO6L,"Private Carrier Mobile Operation (profit) with Itinerant Interconnect"
MO6S,"Private Carrier Mobile Operation (profit) - Stand-by"
MO6T,"Temporary Private Carrier Mobile Operation (profit)"
MO7,"Private Carrier Mobile Operation (non-profit)"
MO7A,"Private Carrier Mobile Operation (non-profit) - Airport Terminal Use"
MO7C,"Private Carrier Mobile Operation (non-profit) - Interconnect"
MO7I,"Private Carrier Mobile Operation (non-profit) - Itinerant"
MO7J,"Private Carrier Mobile Operation (non-profit) with Temporary Interconnect"
MO7K,"Private Carrier Mobile Operation (non-profit) with Stand-by Interconnect"
MO7L,"Private Carrier Mobile Operation (non-profit) with Itinerant Interconnect"
MO7S,"Private Carrier Mobile Operation (non-profit) - Stand-by"
MO7T,"Temporary Private Carrier Mobile Operation (non-profit)"
MO8,"Centralized Trunk Mobile"
MO8A,"Centralized Trunk Mobile - Airport Terminal Use"
MO8C,"Centralized Trunk Mobile - Interconnect"
MOA,"Mobile - Airport Terminal Use"
MOC,"Mobile - Interconnect"
MOI,"Mobile - Itinerant"
MOJ,"Mobile with Temporary Interconnect"
MOK,"Mobile with Stand-by Interconnect"
MOL,"Mobile with Itinerant Interconnect"
MOS,"Mobile - Stand-by"
MOT,"Mobile - Temporary"
MOU1,"AERONAUTICAL UTILITY MOBILE"
MR,"Radiolocation Mobile"
MRT,"MARINE RECEIVER TEST"
MRT2,"MARINE RECEIVER TEST (TEMPORARY)"
MSC,"SHORE RADAR TEST"
MSC2,"SHORE RADAR TEST (TEMPORARY)"
MSR,"SHORE RADIONAVIGATION"
MSR2,"SHORE RADIONAVIGATION (TEMPORARY)"
RCO,"REMOTE COMMUNICATIONS OUTLET"
RLA,"AERONAUTICAL MARKER BEACON"
RLA1,"AERONAUTICAL MARKER BEACON (MOBILE)"
RLA2,"AERONAUTICAL MARKER BEACON (TEMPORARY)"
RLB,"AERONAUTICAL RADIO BEACON"
RLB1,"AERONAUTICAL RADIO BEACON (MOBILE)"
RLB2,"AERONAUTICAL RADIO BEACON (TEMPORARY)"
RLC,"SHORE RADIOLOCATION TEST"
RLC2,"SHORE RADIOLOCATION TEST (TEMPORARY)"
RLD,"RADAR/RADAR TEST"
RLD1,"RADAR/RADAR TEST (MOBILE)"
RLD2,"RADAR/RADAR TEST (TEMPORARY)"
RLG,"GLIDE PATH (SLOPE)"
RLG1,"GLIDE PATH (SLOPE) (MOBILE)"
RLG2,"GLIDE PATH (SLOPE) (TEMPORARY)"
RLL,"LOCALIZER"
RLL1,"LOCALIZER (MOBILE)"
RLL2,"LOCALIZER (TEMPORARY)"
RLO,"OMNIDIRECTIONAL RADIO RANGE"
RLO1,"OMNIDIRECTIONAL RADIO RANGE (MOBILE)"
RLO2,"OMNIDIRECTIONAL RADIO RANGE (TEMPORARY)"
RLR,"SHORE RADIOLOCATION/RACON"
RLR2,"SHORE RADIOLOCATION/RACON (TEMPORARY)"
RLT,"RADIONAVIGATION LAND TEST"
RLT1,"RADIONAVIGATION LAND TEST (MOBILE)"
RLT2,"Radionavigation Land Test - Temporary"
RNV,"RADIONAVIGATION LAND"
RNV1,"RADIONAVIGATION LAND (MOBILE)"
RNV2,"RADIONAVIGATION LAND (TEMPORARY)"
RPC,"RAMP CONTROL"
SAR,"SEARCH AND RESCUE"
SAR1,"SEARCH AND RESCUE (MOBILE)"
UAT,"Universal Access Transceiver service - Fixed"
UAT1,"Universal Access Transceiver service - Mobile"
UAT2,"Universal Access Transceiver service - Temporary Fixed"
WDX,"Radiolocation Weather Radar"
WDXS,"Radiolocation Weather Radar - Standby"
WDXT,"Radiolocation Weather Radar - Temporary"
