Frequency,Input,Callsign,Description,System/Category,Tag,Updated
119.27500,,,Weather AWOS-3,Lansing Municpal Airport [IGQ],Aircraft,2011:04:28
119.35000,,,Approach/Departure,Tower/Approach/Departure,Aircraft,2006:07:14
119.45000,,,Class C Airspace/Radar,Tower/Approach/Departure,Aircraft,2006:07:14
119.45000,,,News Helicopters with Midway Tower,Traffic Copters,Aircraft,2005:10:29
119.90000,,,Executive Tower / CTAF,Chicago Executive Airport [PWK],Aircraft,2009:05:01
120.55000,,,O'Hare Class B North,Class B,Aircraft,2015:07:28
120.55000,,,Chicago Approach,Chicago Executive Airport [PWK],Aircraft,2009:05:01
120.75000,,,O'Hare Tower South,Tower,Aircraft,2015:07:28
121.15000,,,O'Hare Tower Center,Tower,Aircraft,2015:07:28
121.60000,,,O'Hare Clearance Delivery,Clearance,Aircraft,2015:07:28
121.65000,,,Ground Control,Tower/Approach/Departure,Aircraft,2006:07:14
121.67500,,,O'Hare Ramp/Metering,Clearance,Aircraft,2015:07:28
121.70000,,,Executive Ground,Chicago Executive Airport [PWK],Aircraft,2009:05:01
121.75000,,,O'Hare Ground Outbound,Ground,Aircraft,2015:07:28
121.85000,,,Clearance Delivery,Tower/Approach/Departure,Aircraft,2006:07:14
121.90000,,,O'Hare Ground Inbound,Ground,Aircraft,2015:07:28
122.70000,,,CTAF/UNICOM,Lansing Municpal Airport [IGQ],Aircraft,2011:04:28
122.70000,,,reported use by Channel 5,Traffic Copters,Aircraft,2005:10:20
122.90000,,,CTAF,Schaumburg Municipal Helistop [4H1],Aircraft,2011:04:28
122.95000,,,UNICOM,Tower/Approach/Departure,Aircraft,2006:07:14
122.95000,,WQDJ808,Signature Flight Support,Transit/Valet/Parking,Aircraft,2008:11:16
122.95000,,,UNICOM,Chicago Executive Airport [PWK],Aircraft,2009:05:01
123.00000,,WQBZ459,CTAF/UNICOM,Schaumburg Regional Airport [06C],Aircraft,2009:01:07
123.02500,,,"UNICOM Common - Downtown Chicago (Channel 2,5,7,9,32 & Traffic Watch Planes)",Traffic Copters,Aircraft,2005:10:20
123.05000,,,Army National Guard,Tower/Approach/Departure,Aircraft,2006:07:14
124.12500,,,O'Hare Ground North,Ground,Aircraft,2015:07:28
124.20000,,,ATIS,Chicago Executive Airport [PWK],Aircraft,2009:05:01
124.35000,,,Chicago Approach F Arrival (Rwy 27R/9L),Approach / Departure,Aircraft,2015:07:28
124.62500,,,Clearance Delivery,Tower/Approach/Departure,Aircraft,2012:05:08
124.70000,,,Clearance Delivery,Chicago Executive Airport [PWK],Aircraft,2009:05:01
125.00000,,,Chicago Departure,Chicago Executive Airport [PWK],Aircraft,2009:05:01
125.40000,,,Chicago Departure West,Approach / Departure,Aircraft,2015:07:28
125.70000,,,Chicago Approach NE Feeder (Rwy 27R/9L),Approach / Departure,Aircraft,2015:07:28
126.62500,,,Chicago Departure South,Approach / Departure,Aircraft,2015:07:28
126.90000,,,O'Hare Tower North,Tower,Aircraft,2015:07:28
127.87500,,,Approach/Departure,Tower/Approach/Departure,Aircraft,2006:07:14
127.92500,,,O'Hare Tower Aux,Tower,Aircraft,2015:07:28
128.15000,,,O'Hare Tower North,Tower,Aircraft,2015:07:28
128.20000,,,Approach/Departure (Replaced 118.4),Tower/Approach/Departure,Aircraft,2012:09:25
128.90000,,,United Airlines - Ramp Control - Odd C Gates,Airline Operations,Business,2012:07:21
128.92500,,WQN3,Operations,Signature Flight Support Services,Aircraft,2008:12:22
128.92500,,WQN3,Signature Flight Support FBO,Fixed Base Operators,Business,2012:07:21
128.92500,,,Signature Flight Support FBO,Airline Operations,Business,2012:07:21
128.95000,,,United Airlines - Maintenance,Airline Operations,Business,2012:07:21
129.07500,,,United Airlines - Ramp Control - Even C Gates,Airline Operations,Business,2012:07:21
129.07500,,,United Airlines - Terminal 5 Ops,Airline Operations,Business,2012:07:21
129.27500,,,Southwest Airlines - Operations,Airline Operations,Business,2012:07:21
129.30000,,,United Airlines - Dispatch Secondary,Airline Operations,Business,2012:07:21
129.30000,,,United Airlines - Hangar Ramp,Airline Operations,Business,2012:07:21
129.40000,,,Aeronautical Radio,Airline Operations,Business,2012:07:21
129.42500,,,UPS,Airline Operations,Business,2012:07:21
129.52500,,,De-Ice,Airline Operations,Business,2012:07:21
129.52500,,,De-Ice - B Gates,Airline Operations,Business,2012:07:21
129.57500,,,United Airlines - De-Ice Control,Airline Operations,Business,2012:07:21
129.80000,,,US Airways,Airline Operations,Business,2012:07:21
129.85000,,,JetBlue,Airline Operations,Business,2012:07:21
129.95000,,,Signature Flight Support FBO,Chicago Executive Airport [PWK],Business,2013:09:28
130.12500,,,Lufthansa,Airline Operations,Business,2012:07:21
130.12500,,,Southwest Airlines - Maintenance,Airline Operations,Business,2012:07:21
130.22500,,,United Airlines - Operations,Airline Operations,Business,2012:07:21
130.32500,,,Atlantic Aviation FBO,Chicago Executive Airport [PWK],Business,2013:09:28
130.77500,,,De-Ice - A Gates,Airline Operations,Business,2012:07:21
130.82500,,,Frontier Airlines,Airline Operations,Business,2012:07:21
130.90000,,,Delta Airlines,Airline Operations,Business,2012:07:21
131.05000,,,United Airlines - Dispatch West,Airline Operations,Business,2012:07:21
131.10000,,,British Airways,Airline Operations,Business,2012:07:21
131.30000,,,O'Hare Ramp/Metering North,Clearance,Aircraft,2015:07:28
131.30000,,,United Airlines - Ramp Control B and E Gates,Airline Operations,Business,2012:07:21
131.35000,,,Virgin America,Airline Operations,Business,2012:07:21
131.40000,,,United Airlines - Dispatch East,Airline Operations,Business,2012:07:21
131.42500,,KXT3,Atlantic Aviation FBO,Fixed Base Operators,Business,2013:09:28
131.52500,,,Swissport,Airline Operations,Business,2012:07:21
131.92500,,,Fedex,Airline Operations,Business,2012:07:21
132.70000,,,O'Hare Tower Center,Tower,Aircraft,2015:07:28
132.75000,,,ATIS / ASOS,Tower/Approach/Departure,Aircraft,2006:07:14
133.50000,,,O'Hare Class B South,Class B,Aircraft,2015:07:28
133.50000,,,Approach/Departure,Tower/Approach/Departure,Aircraft,2006:07:14
133.62500,,,Chicago Approach W Arrival (Rwy 28/10C),Approach / Departure,Aircraft,2015:07:28
134.15000,,,O'Hare Ground Center,Ground,Aircraft,2015:07:28
134.40000,,,Chicago Departure NE Backup,Approach / Departure,Aircraft,2015:07:28
135.02500,,,Chicago Approach SW Feeder (Rwy 27R/9L),Approach / Departure,Aircraft,2015:07:28
135.07500,,,Chicago Approach NW Feeder (Rwy 28/10C),Approach / Departure,Aircraft,2015:07:28
135.20000,,,"TOWER: ""Copter Control"" (Class C Airspace)",Tower/Approach/Departure,Aircraft,2006:07:14
135.20000,,,Emergency / Alternate Ground,Tower/Approach/Departure,Aircraft,2010:02:24
135.27500,,,Chicago Departure West,Approach / Departure,Aircraft,2015:07:28
138.22500,,,Nationwide Repeater (on scene),FEMA - Federal Emergency Management Agency,Federal,2014:03:27
138.57500,141.95000,,Chicago Office,FEMA - Federal Emergency Management Agency,Federal,2008:04:21
140.92500,,,Chicago Office: Simplex,FEMA - Federal Emergency Management Agency,Federal,2008:04:21
144.39000,,,"APRS digipeater, Northfield, IL",Packet (Data),Ham,2015:09:10
144.39000,,NS9RC-5,"APRS Digipeater, Highland Park, IL",Packet (Data),Ham,2015:09:10
145.11000,,W9GN,W9GN UFDA (Chicago),Miscellaneous,Ham,2012:09:29
145.11000,,W9GN,W9GN UFDA,Miscellaneous,Ham,2012:09:29
145.13000,144.73000,W9DUP/R,W9DUP,Miscellaneous,Ham,2011:09:30
145.61000,,NS9RC,"Glenview, IL NS9RC-10 1200 bps Packet Radio (Winlink RMS Network Node)",North Shore Radio Club,Ham,2015:10:24
145.61000,,,"Winlink  RMS Winlink Node, Glenview, IL",Packet (Data),Ham,2015:09:10
146.67000,146.07000,WB9AET/R,WB9AET (WAFAR),Miscellaneous,Ham,2011:09:30
146.76000,146.16000,,CFMC,Chicago FM Club (CFMC),Ham,2011:09:30
146.88000,146.27800,,SARA,Miscellaneous,Ham,2011:09:30
147.09000,147.69000,W9AP/R,W9AP,Miscellaneous,Ham,2011:09:30
147.10500,147.70500,KB9KRA/R,KB9KRA,Miscellaneous,Ham,2011:09:30
147.15000,147.75000,W9SRO/R,W9SRO,Miscellaneous,Ham,2011:09:30
147.31500,147.91500,W9FO/R,W9FO,Miscellaneous,Ham,2011:09:30
147.34500,147.94500,NS9RC,"Northbrook, IL",North Shore Radio Club,Ham,2015:10:24
148.12500,,,Chicago Repeater [R25],Civil Air Patrol,Aircraft,2012:12:29
148.12500,,,Chicago Repeater [R25P],Civil Air Patrol,Aircraft,2012:12:29
150.10000,,,Rental Radio F-01,Communications Direct,Business,2009:11:10
150.35000,,,Rental Radio F-04,Communications Direct,Business,2009:11:10
150.45000,,,Rental Radio F-05,Communications Direct,Business,2009:11:10
150.65000,,,Rental Radio F-06,Communications Direct,Business,2009:11:10
150.68750,,,North Riverside Armory,Illinois National Guard,Military,2005:08:14
150.77500,,WPKM720,FPD: Fireground [Ch 2],Lemont,Fire-Tac,2008:12:29
150.77500,,KBS471,Fire: Administration,Chicago Heights,Fire-Tac,2007:06:12
150.79000,,WQAG579,Fireground - Green (MABAS) [Not official],Mutual Aid Box Alarm System (MABAS),Fire-Tac,2012:09:26
150.79000,,KSE515,EMS: Unit-to-Unit,Bud's Ambulance (Dolton),EMS-Tac,2009:08:23
150.86000,,WQGG491,Chicago Elite Dispatch - Mobiles to 153.155,Taxi Cabs,Transportation,2007:08:07
150.92000,,WPNS332,EMS: Daleys Ops,Bud's Ambulance (Dolton),EMS-Tac,2011:01:03
150.92000,,WPNS332,Housekeeping/Maintenance/Admin,Our Lady of the Resurrection Medical Center (OLR-Chicago),Business,2009:09:13
150.95750,,,Site 104 Rolling Meadows (Unidentified LCN),Ventronics (Metro Chicago),TRS,2008:10:09
150.95750,,,Site 105 Schaumburg (Unidentified LCN),Ventronics (Metro Chicago),TRS,2008:10:09
151.01000,,KSD486,"to: Wilmette, Northfield, Glencoe Dispatch; Winnetka Admin (Northbrook)",RED: Regional Emergency Dispatch (Northbrook),Fire-Tac,2009:01:10
151.02500,,WNLA356,Township Highway Department,Maine Township (Park Ridge),Public Works,2008:12:29
151.02500,,KZP280,Northfield Township Road Maintenance (71.9 PL reported),Townships and Water Districts,Public Works,2008:12:30
151.02500,,,Cook County Townships Highway Departments,Townships and Water Districts,Public Works,2008:09:07
151.02500,,WNUV977,Bloom Township Senior Wheels Bus Service (was 162.2),Townships and Water Districts,Public Works,2013:02:04
151.04750,,WQDN681,Public Works (comms with E-Com),Homewood,Public Works,2008:12:28
151.04750,,WQDN681,Dispatch/Response (to ESDA),E-COM Dispatch Center (Homewood),Emergency Ops,2009:01:10
151.05500,159.13500,WNQZ823,Operations,Chicago Park District,Public Works,2011:10:11
151.05500,,WPTN614,Palatine Township: Transportation [Canceled 7/05],Townships and Water Districts,Public Works,2008:12:30
151.05500,159.13500,WNQZ823,Zoo Foods ? [Ch 4],Lincoln Park Zoo,Business,2010:05:08
151.05500,159.13500,WNQZ823,Operations,Chicago Park District,Public Works,2011:10:11
151.13750,,WNCM652,Fireground,Forest Park,Fire-Tac,2008:12:27
151.13750,,,High School [No License],Lemont Community Consolidated School District 113,Schools,2008:12:29
151.14500,,KNHB626,Lemont Township Park District,Townships and Water Districts,Public Works,2008:12:29
151.14500,,KB74847,Morton Grove Park District [Canceled 1/13],Morton Grove,Public Works,2008:12:30
151.14500,,KNHB626,Park District (Lemont Park District license),Blue Island,Public Works,2007:06:12
151.14500,,KNHB626,Public Works / Snow Plows,Lemont,Public Works,2014:05:01
151.15250,155.61750,WPWK982,Police: Tactical [Ch 1] (DB: Cook County),Lyons,Law Tac,2009:01:10
151.16000,,KET363,Chicago Heights Park District [Canceled 2/13],Chicago Heights,Deprecated,2008:12:27
151.16250,,,Chicago's Finest Security [Ch 1],Support Services / Businesses,Security,2009:01:27
151.17500,,KWO726,Schaumburg Park District,Schaumburg,Public Works,2009:01:07
151.17500,,WPCD645,Operations,Des Plaines Valley Mosquito Abatement District,Public Works,2008:12:29
151.19000,159.36000,WNQZ823,Security/Guest Relations [Ch 1],Lincoln Park Zoo,Business,2010:05:08
151.19000,,KXC599,Park Ridge Park District,Park Ridge,Public Works,2009:01:07
151.19000,159.36000,WNQZ823,Lincoln Park Zoo,Chicago Park District,Public Works,2008:09:06
151.19750,159.31500,WQKS753,Park District: Security/Maintenance,Blue Island,Public Works,2011:09:22
151.20000,,,Rental Radio F-02,Communications Direct,Business,2009:11:10
151.20500,,WQLP848,Public Works / Forestry,Cicero,Public Works,2010:02:26
151.20500,,WNLJ556,Park District  [Expired],Country Club Hills,Public Works,2008:12:27
151.20500,,,Salt Creek Park District: Ops [NO LICENSE],Palatine,Public Works,2009:01:10
151.21250,159.12750,WQRW398,Fire: Dispatch (*see notes) [D315 in],Steger,Fire Dispatch,2013:09:30
151.22000,159.46500,KUI752,Park District,Oak Park,Public Works,2014:08:09
151.22000,159.46500,KUI752,Park District,Oak Park,Public Works,2014:08:09
151.22000,159.46500,KUI752,Park District,Oak Park,Public Works,2014:08:09
151.22000,159.46500,KUI752,Park District,Oak Park,Public Works,2014:08:09
151.22000,159.33000,KAD773,Park District [Expired 12/03; in use?],Oak Lawn,Public Works,2006:08:06
151.22000,,KTG223,Streamwood Park District,Streamwood,Public Works,2006:08:09
151.22000,,,"Park District (Palatine, Streamwood, Oak Park)",Glenview,Public Works,2006:08:06
151.22000,,KNBF399,Palatine Park District,Palatine,Public Works,2015:07:27
151.22750,155.90250,KSI906,Police: Dispatch,Tinley Park,Law Dispatch,2010:04:23
151.23500,,KXE682,Park District [Expired],Des Plaines,Public Works,2008:12:27
151.25750,156.02250,WPXX836,Public Works/City Admin,Niles,Public Works,2008:12:30
151.26500,,,Public Works [NO LICENSE],Forest View,Public Works,2008:12:27
151.26500,,,Maywood Central Area Park District,Maywood,Public Works,2011:01:06
151.28000,,,Park District Ops,Tinley Park,Public Works,2009:01:08
151.28750,,,Chicago's Finest Security [Ch 2],Support Services / Businesses,Security,2009:01:27
151.29500,,,ESDA: Operations,Melrose Park,Emergency Ops,2008:12:30
151.29500,,,Park District: Operations (License: Chicago/Bartlett PrkD ?),Dolton,Public Works,2008:12:27
151.29500,159.40500,WNQZ823,Operations,Chicago Park District,Public Works,2011:10:11
151.29500,159.40500,WNQZ823,Administration / Keepers / Security (After 5 p.m.) [Ch 2],Lincoln Park Zoo,Business,2010:05:08
151.29500,159.40500,WNQZ823,Lincoln Park Zoo,Chicago Park District,Public Works,2006:08:16
151.29500,159.40500,WNQZ823,Soldier Field,Chicago Park District,Public Works,2006:08:16
151.29500,,,Chicago Park District - Soldier Field,Chicago Bears (Soldier Field),Public Works,2010:06:21
151.31000,,,Police: Adam-1 [No License],Tinley Park,Law Tac,2010:12:18
151.31000,,KJU960,Skokie Park District,Skokie,Public Works,2006:08:09
151.33250,154.18250,WQBX486,"Fire: Div 27 Matteson, Richton Park, Park Forest FDs",SouthCom (Matteson),Fire Dispatch,2005:11:14
151.33500,,KNDR536,Park District,Alsip,Public Works,2006:08:06
151.34000,,,Park District [NO LICENSE],Glenview,Public Works,2009:01:10
151.34000,,WNAE322,Rolling Meadows Park District,Rolling Meadows,Public Works,2009:01:07
151.35500,159.45000,KNEF734,Mount Prospect Park District,Mount Prospect,Public Works,2008:12:30
151.35500,,WPCD645,Operations,Des Plaines Valley Mosquito Abatement District,Public Works,2008:12:29
151.36250,158.99250,WPXQ429,Public Works - Future,Lemont,Public Works,2009:01:10
151.37000,159.04500,WPKG779,Police: Tac [Ch 5],Forest Park,Law Tac,2011:01:04
151.37750,159.26250,KBG785,Public Works - New,Northbrook,Public Works,2014:01:02
151.38500,,,Park District [NO LICENSE],Glenview,Public Works,2009:01:10
151.38500,,,Park District,Hazel Crest,Public Works,2009:01:10
151.40000,,WNQJ236,Prospect Heights Park District,Prospect Heights,Public Works,2009:01:07
151.40000,,,Rental Radio F-03,Communications Direct,Business,2009:11:10
151.40250,,KSA942,Police: Detectives (ACSB?),River Forest,Law Tac,2009:01:07
151.41500,,WQFH352,Park District,Elk Grove Village,Public Works,2006:08:09
151.43000,,KNHU681,Park District,Chicago Ridge,Public Works,2008:12:27
151.43000,154.65750,WQIA750,Fire: Dispatch,E-COM Dispatch Center (Homewood),Fire Dispatch,2009:01:15
151.43000,159.42000,KNHU681,Wilmette Park District (rpts multiple PLs),Wilmette,Public Works,2009:01:09
151.46750,159.32250,WQBU646,Schaumburg Park District (also TG 12288 on TRS),Schaumburg,Public Works,2008:12:21
151.47500,,KZZ322,Park District,Oak Forest,Public Works,2008:12:30
151.48250,159.31500,WQAM478,Park District,Glenview,Public Works,2011:01:05
151.49000,,WPPB963,First Studen:t Buses - Schaumburg [Ch 2],Schaumburg Schools,Schools,2009:01:07
151.52000,159.57000,WNAA526,District 211: Buses [Ch 2],Schaumburg Schools,Schools,2009:01:07
151.52000,159.49500,WQJL520,BHSD#206: Security/Maintenance,Chicago Heights Schools,Schools,2009:09:22
151.53500,,WQGT413,Operations (E Maine SD63),Des Plaines Schools / Maine Township,Schools,2008:01:12
151.54250,159.49500,WQLB318,Emergency Management,Buffalo Grove,Emergency Ops,2010:05:21
151.55000,,WPPB963,First Student: Buses [Ch 3],Schaumburg Schools,Schools,2009:01:07
151.58750,,,Site 105 Schaumburg (Unidentified LCN),Ventronics (Metro Chicago),TRS,2008:10:09
151.62500,,,Parking Operations,United Center (Chicago),Business,2008:01:17
151.62500,,KA77887,Chicago Bears (Nationwide Itinerant),Chicago Bears (Soldier Field),Business,2005:03:19
151.62500,,WPQJ694,Sears School,Kenilworth - Schools,Schools,2011:01:05
151.65500,,,Bratschi Plumbing (Winnetka) [No License],Miscellaneous - Winnetka,Business,2011:12:21
151.67500,,,Rental Radio F-07,Communications Direct,Business,2009:11:10
151.68500,,WQGT413,Operations (E Maine SD63),Des Plaines Schools / Maine Township,Schools,2008:01:12
151.68500,,WNVN211,E Leyden High School: Security (Old Channel),Leyden Township Schools,Schools,2008:12:27
151.68500,,WNKR696,Howards Cab (Calumet City),Taxi Cabs,Transportation,2007:08:07
151.68500,154.60000,WPQJ694,Sears School,Kenilworth - Schools,Schools,2006:08:09
151.70000,,,Rental Radio F-08,Communications Direct,Business,2009:11:10
151.71500,,,Villa Olivia Country Club [Ch 1] (Bartlett),Miscellaneous,Business,2009:01:16
151.71500,,,Operations [Ch 7],Lincoln Park Zoo,Business,2010:05:08
151.71500,,WNKA404,Operations (Buses?),Lemont Community Consolidated School District 113,Schools,2007:06:12
151.71500,,WSE494,Community Cab Company (Des Plaines),Taxi Cabs,Transportation,2009:06:12
151.71500,,KB95356,Groot Recycling & Waste Services Inc (2-4wt),Miscellaneous,Business,2008:11:16
151.71500,,,Navy Pier: Cruise Boat - Odyssey Chicago,Navy Pier / Metropolitan Pier and Exposition Authority,Business,2013:09:24
151.72500,,,Rental Radio F-09,Communications Direct,Business,2009:11:10
151.74500,,WQGT413,Operations (E Maine SD63),Des Plaines Schools / Maine Township,Schools,2008:01:12
151.75000,,,Rental Radio F-10,Communications Direct,Business,2009:11:10
151.75500,,,Retail Ops [Ch 5],Lincoln Park Zoo,Business,2010:05:08
151.77500,,KNJT305,Operations (7600 S Mason Ave),AERO Special Education School (Burbank),Schools,2008:12:30
151.77500,,WNAA526,High School [Ch 1],Schaumburg Schools,Schools,2009:01:07
151.77500,,WQCN945,Paging (former Maintenance),St. James Hospital Medical Center (Chicago Heights),Data,2010:12:27
151.79000,,WQGT413,Operations (E Maine SD63),Des Plaines Schools / Maine Township,Schools,2008:01:12
151.80500,,KWK440,Barrington Transportation [Expired],Barrington Community Unit School District 220,Schools,2008:12:27
151.80500,,,Villa Olivia Country Club [Ch 2] (Bartlett),Miscellaneous,Business,2009:01:16
151.83500,,,Docents (volunteers) [Ch 6],Lincoln Park Zoo,Business,2010:05:08
151.83500,,WPKS672,Courtesy Livery Service (Fred Richardson) {mobiles to 159.615},Taxi Cabs,Transportation,2006:09:04
151.86500,,WQGT413,Operations (E Maine SD63),Des Plaines Schools / Maine Township,Schools,2008:01:12
151.86500,,,Comm. Cons. School District #59,Arlington Heights - Schools,Schools,2007:06:12
151.86500,,WNMU379,Operations (Chicago),Northeastern Illinois University (Chicago),Schools,2009:09:13
151.89500,,WNDR227,Paging [Expired 9/00],The Northern Trust Company (50 S LaSalle),Business,2009:09:11
151.89500,,WNXU472,Ops (SD69),Skokie Schools,Schools,2009:06:02
151.89500,,,"Buses (unid near Buf Grv, Ind Crk)",Bus Companies - Other,Schools,2010:02:26
151.89500,,,North: Paging,Kindred Hospital (Chicago) (*need loc),Data,2007:08:07
151.90250,159.92250,WQHL677,Walsh Construction (Willow Springs),Miscellaneous - Willow Springs,Business,2008:09:06
151.90250,160.18500,WPTS430,TR Harmsen: Buses (Chicago),Miscellaneous,Transportation,2008:10:15
151.91000,159.85500,WQCJ770,Opeations (CCH),Bremen Community High School District 228 (Country Club Hills/Oak Forest),Schools,2010:08:31
151.92500,160.00500,WQCJ770,Operations (OF) (127.3?),Bremen Community High School District 228 (Country Club Hills/Oak Forest),Schools,2010:08:31
151.92500,,WNUI231,Athletics [Ch 3] (was 123.0?; 151.775 D332?),New Trier (Twp) High School District 203 (Winnetka),Schools,2008:12:30
151.92500,159.51000,WQJL520,BHSD#206: Security/Maintenance (127.3),Chicago Heights Schools,Schools,2009:09:22
151.95500,159.72000,WNVN211,W Leyden High School: Security/Deans/Admin (Northlake),Leyden Township Schools,Schools,2014:11:19
151.95500,,WPUR288,Ops (heard Power Outages) [unconfirmed input],Lincoln Park Zoo,Business,2013:08:12
151.95500,160.18500,WQCJ770,Operations (OF),Bremen Community High School District 228 (Country Club Hills/Oak Forest),Schools,2010:08:31
151.95500,158.34000,WQQT986,Lincoln Park Zoological Society,Chicago Park District,Public Works,2014:08:09
151.95500,158.34000,WPUR288,Parking [Ch 3],Lincoln Park Zoo,Business,2010:05:08
151.95500,,,High School,Buffalo Grove - Schools,Security,2006:08:09
151.95500,158.34000,WQQT986,Operations,Chicago Park District,Public Works,2011:10:11
151.97000,159.97500,WQGV892,Security/Admin/Maintenance (SD#146),Tinley Park Schools,Schools,2007:06:24
151.97750,,WQGT413,Operations (E Maine SD63),Des Plaines Schools / Maine Township,Schools,2008:01:12
151.98500,158.34000,WQGV892,Security/Admin/Maintenance (SD#146),Tinley Park Schools,Schools,2007:06:24
151.98500,160.00500,WQFN987,School District 27: Admin/Security,Northbrook - Schools,Security,2008:12:30
151.98500,160.18500,WQBY806,Water Department (was 165.5 PL; 159.975 in),Summit,Public Works,2009:01:08
152.00750,,WPKG506,Paging,Ingalls Memorial Hospital (Harvey),Data,2010:12:27
152.00750,,WQLI304,Paging (CSQ),Evanston Hospital,Data,2010:02:09
152.00750,,KUT721,Paging (CSQ),Loyola University Medical Center (Maywood),Data,2008:10:09
152.00750,,KRL348,Paging,Glenbrook Hospital (Glenview),Data,2010:12:26
152.27000,157.53000,WNVN211,E Leyden High School: Security / Deans / Admin,Leyden Township Schools,Schools,2009:02:10
152.27000,157.53000,WQHB735,Mt Prospect High School District 57: Admin,Mount Prospect - Schools,Schools,2008:12:30
152.27750,157.53750,WPSK202,Operations,Oak Park and River Forest High School,Schools,2011:01:07
152.28500,,WPKC929,American Taxi: Base (Rolling Meadows) [Ch 3],Taxi Cabs,Transportation,2010:02:22
152.28500,157.54500,WPRI961,Winnetka Campus: Maintenance [Ch 1],New Trier (Twp) High School District 203 (Winnetka),Schools,2008:12:30
152.30000,,KSA723,American-United Cab Company (Chicago) {base to 157.56},Taxi Cabs,Transportation,2006:09:06
152.30000,,WPRH939,Community Cab (Des Plaines) {base to 157.56},Taxi Cabs,Transportation,2006:05:18
152.31500,,WNZD503,"American Taxi: Base ""EAST"" (Mt Prospect)",Taxi Cabs,Transportation,2010:02:22
152.32250,,,Site 104 Rolling Meadows (Unidentified LCN),Ventronics (Metro Chicago),TRS,2008:10:09
152.33000,,KSC557,Transportation Maintenance (Chicago),Taxi Cabs,Transportation,2012:10:05
152.33000,,KNAD861,Norshore Cab Association (Evanston) {base to 157.59} (Old?),Taxi Cabs,Transportation,2007:08:07
152.33750,157.59750,WPSK202,Operations,Oak Park and River Forest High School,Schools,2011:01:07
152.34500,157.60500,WPRI961,Winnetka Campus: Para-Pros [Ch 2],New Trier (Twp) High School District 203 (Winnetka),Security,2008:12:30
152.34500,,WPMF849,Lawrence Taxi: Base (Rolling Meadows),Taxi Cabs,Transportation,2012:11:24
152.36000,,KSH488,Jet Livery Service - Base to Mobiles,Limousine Services,Transportation,2008:09:29
152.38250,157.64250,WPSK202,Operations,Oak Park and River Forest High School,Schools,2011:01:07
152.40500,157.66500,WPUF529,High School Ops (CHSD# 231),Evergreen Park Schools,Schools,2011:01:04
152.41250,157.67250,WPSK202,Operations,Oak Park and River Forest High School,Schools,2011:01:07
152.42000,157.68000,WNZD503,American Taxi,Taxi Cabs,Transportation,2010:02:22
152.44250,,,Site 104 Rolling Meadows (Unidentified LCN),Ventronics (Metro Chicago),TRS,2008:10:09
152.46500,157.72500,WPYU963,Friends of Berwyn (ESDA),Berwyn,Emergency Ops,2011:10:11
152.46500,157.72500,WPYU963,Friends of Berwyn (ESDA),Berwyn,Emergency Ops,2011:10:11
